config;fork;openmp;posix
500x1;112115;104380;126192
500x2;59512.2;56190.6;68859.6
500x4;39769.8;42513.3;43726.9
500x8;34143.4;35872.2;38778.3
500x16;32639.8;32536.9;35452.6
1000x1;932071;875351;1,02E+11
1000x2;476706;467572;532075
1000x4;365363;407998;393908
1000x8;323192;351595;389933
1000x16;323441;335386;368966
2000x1;1,53E+12;1,72E+12;1,65E+12
2000x2;7,69E+11;8,91E+10;8,54E+11
2000x4;6,55E+11;6,86E+11;6,73E+10
2000x8;5,96E+11;6,05E+11;6,26E+11
2000x16;5,77E+11;5,88E+11;6,11E+10
